schemeCode,schemeName,isinGrowth,isinDivReinvestment
100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,INF209K01165,
100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,INF966L01135,
100177,quant Small Cap Fund - Growth - Regular Plan,INF966L01AA0,
100219,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,
100254,JM Value Fund (Regular) - Growth Option,INF137A01037,
100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,INF767K01071,
100349,ICICI Prudential Large & Mid Cap Fund - Growth,INF109K01431,
100350,ICICI Prudential Large & Mid Cap Fund - Institutional Option - I - Growth,,
100354,ICICI Prudential ELSS Tax Saver Fund - Growth,INF109K01464,
100377,Nippon India Growth Mid Cap Fund-Growth Plan-Growth Option,INF204K01323,
100380,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Growth Option,INF204K01406,
100382,UTI Large Cap Fund-Growth Option,,
100471,Franklin India Large Cap Fund-Growth,INF090I01171,
100473,Franklin India Mid Cap Fund-Growth,INF090I01809,
100475,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,
100476,Taurus Flexi Cap Fund - Regular Plan - Growth ,INF044D01989,
100477,Taurus Mid Cap Fund - Regular Plan - Growth,INF044D01815,
100480,Taurus ELSS Tax Saver Fund - Regular Plan - Growth,INF044D01AC9,
100496,Templeton India Value Fund - Growth Plan,INF090I01296,
100520,Franklin India Flexi Cap Fund - Growth,INF090I01239,
100526,Franklin India ELSS Tax Saver Fund-Growth,INF090I01775,
100651,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,
100664,UTI Large & Mid Cap Fund - Regular Plan - Growth Option,INF789F01869,
100669,UTI - Flexi Cap Fund-Growth Option,INF789F01513,
100751,UTI - Master Value Fund-Growth Option,,
100795,Sundaram Small Cap Fund Regular Plan - Growth,INF903J01470,
100821,UTI ELSS Tax Saver Fund - Regular Plan - Growth Option,INF789F01547,
100865,LIC MF ELSS Tax Saver-Regular Plan-Growth,INF767K01956,
100966,Principal Multi Cap Growth Fund- Half Yearly Income Distribution CUM Capital Withdrawal Option,,
100967,Principal Multi Cap Growth Fund-Growth Option,,
101065,quant Mid Cap Fund - Growth Option - Regular Plan,INF966L01176,
101161,Nippon India Multi Cap Fund-Growth Plan-Growth Option,INF204K01489,
101209,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,
101539,Sundaram Mid Cap Fund Regular Plan - Growth,INF903J01173,
101594,HSBC Large Cap Fund - Regular Growth,INF336L01016,
101635,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,
101672,Tata Value Fund - Regular Plan -Growth Option,INF277K01451,
101762,HDFC Flexi Cap Fund - Growth Plan,INF179K01608,
101764,HDFC Value Fund - Growth Plan,INF179K01426,
101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option,INF277K01428,
101853,Sundaram Value Fund Regular Plan - Growth,INF903J01538,
101979,HDFC ELSS Tax saver - Growth Plan,INF179K01BB8,
102000,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,
102020,Baroda BNP Paribas MULTI CAP FUND - Regular Plan - Growth Option,INF955L01674,
102242,ING Large Cap Equity Fund-Growth Option,,
102252,HSBC Flexi Cap Fund - Regular Growth,INF336L01AF5,
102328,Tata Mid Cap Fund Regular Plan- Growth Option,INF277K01626,
102394,UTI Mid Cap Fund-Growth Option,INF789F01810,
102479,JM Mid Cap Fund-Growth,,
102481,JM Large Cap Fund-Growth,,
102594,ICICI Prudential Value Fund (erstwhile Value Discovery Fund) - Growth,INF109K01AF8,
102875,Kotak-Small Cap Fund - Growth,INF174K01211,
102883,Franklin India Large & Mid Cap Fund - Growth Plan,INF090I01205,
103006,HSBC Small Cap Equity Fund - Growth,,
103024,SBI LARGE & MIDCAP FUND- REGULAR PLAN -Growth,INF200K01305,
103040,Kotak Contra Fund - Regular Plan - Growth,INF174K01245,
103071,Tata Mid Cap Fund Plan A- Growth,,
103085,Nippon India Value Fund- Growth Plan,INF204K01GB3,
103098,UTI Value Fund - Regular Plan - Growth Option,INF789F01AG5,
103166,Aditya Birla Sun Life Flexi Cap Fund - Growth - Regular Plan,INF209K01AJ8,
103174,Aditya Birla Sun Life Large Cap Fund-Growth,INF209K01BR9,
103196,Nippon India ELSS Tax Saver Fund-Growth Plan-Growth Option,INF204K01GK4,
103234,Kotak Large & Midcap Fund - Growth-Regular,INF174K01187,
103309,Aditya Birla Sun Life Focused Fund -Growth Option,INF209K01462,
103335,Principal Focused Multicap Fund-Growth Option,,
103336,Tata Contra Fund Plan A -  Growth,,
103339,Kotak ELSS Tax Saver Fund-Growth,INF174K01369,
103360,Franklin India Small Cap Fund-Growth,INF090I01569,
103367,"ING L.I.O.N. (Large cap, Intermediate cap, Opportunities, New offerings)Fund-Growth Option",,
103445,ABN AMRO Tax  Advantage Plan (ELSS)-Growth Option,,
103469,HDFC Focused Large-Cap Fund-Growth,,
103490,Quantum Value Fund - Direct Plan Growth Option,INF082J01036,
103534,UTI Contra Fund-Growth-Growth Option,,
103649,ING Contra Fund -Growth Option,,
103747,Reliance Focused Large Cap Fund-Growth Plan-Growth Option,,
103819,DSP Large & Mid Cap Fund - Regular Plan - Growth,INF740K01094,
104479,DSP BlackRock Small and Mid Cap Fund - Institutional Plan - Growth,,
104513,quant Large & Mid Cap Fund - Growth Option,INF966L01341,
104636,Invesco India ELSS Tax Saver Fund - Regular Plan - Growth,INF205K01270,
104637,Nippon India Focused Fund -Growth Plan -Growth Option,INF204K01GE7,
104772,DSP ELSS Tax Saver Fund - Regular Plan - Growth,INF740K01185,
104999,Sundaram Select Small Cap- Growth,,
105460,Invesco India Contra Fund - Regular Plan - Growth,INF205K01189,
105758,HDFC Mid Cap Fund - Growth Plan,INF179K01CR2,
105817,Franklin India Focused Equity Fund - Growth Plan,INF090I01981,
105875,DSP Flexi Cap Fund - Regular Plan - Growth,INF740K01037,
105989,DSP Small Cap Fund - Regular - Growth,INF740K01797,
106144,Invesco India Large & Mid Cap Fund - Regular Plan - Growth,INF205K01247,
106147,JM Contra Fund - Growth option,,
106235,Nippon India Large Cap  Fund- Growth Plan -Growth Option,INF204K01562,
106249,Reliance Focused Large Cap  Fund Institutional Plan Growth Plan Growth Option,,
106253,Reliance Multi Cap Fund Institutional Plan Growth Plan Growth Option,,
106871,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,
107288,JM ELSS Tax Saver Fund (Regular) - Growth option,INF192K01650,
107301,JPMorgan India Mid and Small Cap Fund - Regular Plan - Growth Option,,
107410,JM Focused Fund (Regular) - Growth Option,INF192K01577,
107578,Mirae Asset Large Cap Fund - Growth Plan,INF769K01010,
107745,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth Option,INF209K01108,
108097,HSBC Small Cap Fund - Growth,,
108167,Aditya Birla Sun Life Value Fund - Growth Option,INF209K01LF3,
108466,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)  - Growth,INF109K01BL4,
108592,Bandhan Focused Fund - Regular Plan - Growth,INF194K01466,
108594,BANDHAN Flexi Cap Fund - Regular Plan - Growth,INF194K01391,
108596,Bandhan Large & Mid Cap Fund - Regular Plan - Growth,INF194K01524,
108799,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,
108909,Bandhan Value Fund - Regular Plan - Growth,INF194K01342,
109275,quant Focused Fund - Growth Option - Regular Plan,INF966L01374,
109830,quant Flexi Cap Fund - Growth Option - Regular Plan,INF966L01457,
110599,BANK OF INDIA Large & Mid Cap Fund Eco Plan- Growth,INF761K01041,
110603,BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth,INF761K01108,
110751,Fortis Tax  Advantage Plan (ELSS)-Growth Option,,
111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,INF082J01069,
111569,BANDHAN ELSS Tax Saver Fund - Regular Plan - Growth,INF194K01292,
111638,Edelweiss ELSS Tax Saver Fund - Regular Plan - Growth Option,INF754K01517,
111709,BANK OF INDIA ELSS Tax Saver -ECO Plan-Growth,INF761K01157,
111710,BANK OF INDIA ELSS Tax Saver -Regular Plan- Growth,INF761K01181,
111935,Edelweiss Large Cap Fund -Plan B - Growth option,INF754K01087,
111937,Edelweiss Large Cap Fund -Plan C - Growth option,INF754K01129,
111940,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,
111941,Sundaram Mid Cap Fund Institutional Plan - Growth,,
111957,ICICI Prudential Focused Equity Fund - Growth,INF109K01BZ4,
111959,ICICI Prudential Focused Equity Fund Institutional Growth,,
112064,Sundaram Small Cap Fund Institutional Plan - Growth,,
112105,Sahara Star Value Fund-Growth Option,,
112277,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,
112288,Fidelity India Value Fund-Growth Option,,
112323,Axis ELSS Tax Saver Fund - Regular Plan - Growth,INF846K01131,
112496,L&T Mid Cap Fund-Regular Plan-Growth,,
112901,DSP Focused Fund - Regular Plan - Growth,INF740K01532,
112932,Mirae Asset Large & Midcap Fund - Regular Plan - Growth,INF769K01101,
112943,Baroda Large cap Fund - Plan A - Growth Option,,
113177,Nippon India Small Cap Fund - Growth Plan - Growth Option,INF204K01HY3,
113460,BNP PARIBAS MULTI CAP Fund-Growth Option,,
113544,BNP PARIBAS LARGE CAP Fund-Growth Option,,
113566,BNP Paribas Mid Cap Fund-Growth Option,,
114307,DHFL Pramerica Large Cap Equity Fund - Growth Option,,
114458,Kotak Large Cap Fund - Growth,INF174K01153,
115270,Union Flexi Cap Fund - Growth Option,INF582M01104,
115790,Navi Large Cap Equity Fund - Growth Option,,
116051,Union ELSS Tax Saver Fund - Growth Option,INF582M01302,
117560,Axis Focused Fund - Regular Plan - Growth Option,INF846K01CH7,
118069,L&T India Large Cap Fund - Regular Plan - Growth,,
118102,L&T India Value Fund-Regular Plan-Growth,,
118419,Bandhan Large & Mid Cap Fund - Direct Plan - Growth,INF194K01V89,
118421,Bandhan Focused Fund - Direct Plan - Growth,INF194K01W21,
118424,BANDHAN Flexi Cap Fund-Direct Plan-Growth,INF194K01W62,
118473,BANDHAN ELSS Tax Saver Fund - Direct Plan - Growth,INF194K01Y29,
118479,BANDHAN Large Cap Fund-Direct Plan-Growth,INF194K01Z44,
118481,Bandhan Value Fund - Direct Plan - Growth,INF194K01Z85,
118494,Templeton India Value Fund - Direct - Growth,INF090I01GY2,
118510,Franklin India Large & Mid Cap Fund - Direct - Growth,INF090I01IN1,
118525,Franklin India Small Cap Fund - Direct - Growth,INF090I01IQ4,
118531,Franklin India Large Cap Fund- Direct - Growth,INF090I01FN7,
118533,Franklin India Mid Cap Fund - Direct - Growth,INF090I01FH9,
118535,Franklin India Flexi Cap Fund - Direct - Growth,INF090I01FK3,
118540,Franklin India ELSS Tax Saver Fund - Direct - Growth,INF090I01JS8,
118564,Franklin India Focused Equity Fund - Direct - Growth,INF090I01IW2,
118617,Edelweiss Large Cap Fund - Direct Plan-Growth option,INF754K01BW4,
118620,Edelweiss ELSS Tax Saver Fund - Direct Plan-Growth Option,INF754K01CA8,
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,INF204K01XI3,
118643,Reliance Focused Large Cap Fund - Direct Plan Growth Plan - Growth Option,,
118650,Nippon India Multi Cap Fund - Direct Plan Growth Plan - Growth Option,INF204K01XF9,
118668,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Growth Option,INF204K01E54,
118678,Nippon India Vision Large & Mid Cap Fund - Direct Plan Growth Plan - Growth Option,INF204K01F20,
118692,Nippon India Focused Fund - Direct Plan Growth Plan - Growth Option,INF204K01F95,
118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,INF204K01K15,
118784,Nippon India Value Fund - Direct Plan Growth Plan,INF204K01K49,
118803,Nippon India ELSS Tax Saver Fund - Direct Plan Growth Plan - Growth Option,INF204K01L55,
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,
118834,Mirae Asset Large & Midcap Fund - Direct Plan - Growth,INF769K01BI1,
118866,Taurus ELSS Tax Saver Fund - Direct Plan - Growth,INF044D01CG6,INF044D01AA3
118870,Taurus Large Cap Fund - Direct Plan - Growth,INF044D01BX3,
118872,Taurus Mid Cap Fund - Direct Plan - Growth,INF044D01CA9,
118883,Taurus Flexi Cap Fund - Direct Plan - Growth,INF044D01BU9,
118927,HDFC Focused Large-Cap Fund -Direct Plan - Growth Option,,
118935,HDFC Value Fund - Growth Option - Direct Plan,INF179K01VC4,
118950,HDFC Focused Fund - Growth Option - Direct Plan,INF179K01VK7,
118955,HDFC Flexi Cap Fund - Growth Option - Direct Plan,INF179K01UT0,
118989,HDFC Mid Cap Fund - Growth Option - Direct Plan,INF179K01XQ0,
119018,HDFC Large Cap Fund - Growth Option - Direct Plan,INF179K01YV8,
119060,HDFC ELSS Tax saver - Growth Option - Direct Plan,INF179K01YS4,
119076,DSP Flexi Cap Fund - Direct Plan - Growth,INF740K01PI2,
119096,DSP Focused Fund - Direct Plan - Growth,INF740K01OB0,
119148,Navi Large Cap Equity Fund-Direct Plan-Growth Option,,
119160,Tata Large Cap Fund -Direct Plan Growth Option,INF277K01QZ7,
119178,Tata Mid Cap Fund - Direct Plan- Growth Option,INF277K01PY2,
119202,Tata Large & MId Cap Fund -Direct Plan- Growth Option,INF277K01MK8,
119212,DSP Small Cap Fund - Direct Plan - Growth,INF740K01QD1,
119218,DSP Large & Mid Cap Fund - Direct Plan - Growth,INF740K01PL6,
119231,Tata Value Fund -Direct Plan Growth Option,INF277K01ND1,
119242,DSP ELSS Tax Saver Fund - Direct Plan - Growth,INF740K01OK1,
119250,DSP Large Cap Fund - Direct Plan - Growth,INF740K01PR3,
119292,Union Flexi Cap Fund - Direct Plan - Growth Option,INF582M01633,
119307,Union ELSS Tax Saver Fund - Direct Plan - Growth Option,INF582M01765,
119308,L&T India Large Cap Fund - Direct Plan - Growth,,
119323,Tata Contra Fund -Direct Plan Growth,,
119350,BANK OF INDIA Large & Mid Cap Fund Direct Plan-Growth,INF761K01652,
119351,BANK OF INDIA ELSS Tax Saver -Direct Plan- Growth,INF761K01884,
119354,Baroda BNP Paribas MULTI CAP FUND - Direct Plan - Growth Option,INF955L01AG0,
119367,Baroda Large cap Fund - Plan B (Direct) - Growth Option,,
119404,L&T India Value Fund-Direct Plan-Growth,,
119436,Aditya Birla Sun Life Large & Mid Cap Fund - Growth - Direct Plan,INF209K01VH8,
119451,Principal Multi Cap Growth Fund - Direct Plan -Half Yearly Income Distribution CUM Capital Withdrawal Option,,
119452,Principal Multi Cap Growth Fund-Direct Plan - Growth Option,,
119464,Principal Focused Multicap Fund- Direct Plan - Growth Option,,
119528,Aditya Birla Sun Life Large Cap Fund - Growth - Direct Plan,INF209K01YY7,
119544,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth - Direct Plan,INF209K01UN8,
119549,Sundaram Value Fund Direct Plan - Growth,INF903J01NN3,
119556,Aditya Birla Sun Life Small Cap Fund - Growth - Direct Plan,INF209K01WN4,
119564,Aditya Birla Sun Life Focused Fund - Growth - Direct Plan,INF209K01WE3,
119581,Sundaram Mid Cap Fund Direct Plan - Growth,INF903J01MJ3,
119589,Sundaram Small Cap Fund Direct Plan - Growth,INF903J01NK9,
119659,Aditya Birla Sun Life Value Fund - Growth - Direct Plan,INF209K01WQ7,
119721,SBI LARGE & MIDCAP FUND -DIRECT PLAN -Growth,INF200K01UJ5,
119769,Kotak Contra Fund - Direct Plan - Growth,INF174K01KZ9,
119773,Kotak ELSS Tax Saver Fund-Growth - Direct,INF174K01LI3,
119807,L&T Mid Cap Fund-Direct Plan-Growth,,
119869,JPMorgan India Mid and Small Cap Fund - Direct Plan - Growth Option,,
119893,BNP Paribas LARGE CAP Fund - Direct Plan - Growth Option,,
119914,ING Large Cap Equity Fund - Direct Plan - Growth Option,,
119988,BNP Paribas MULTI CAP Fund - Direct Plan - Growth Option,,
120002,BNP Paribas Mid Cap Fund - Direct Plan - Growth Option,,
120030,HSBC Large Cap Fund - Direct Growth,INF336L01CM7,
120046,HSBC Flexi Cap Fund - Direct Growth,INF336L01DH5,
120069,HSBC Small Cap Equity Fund - Growth Direct,,
120077,HSBC - Small Cap Fund - Growth Direct,,
120100,DHFL Pramerica Large Cap Equity Fund - Direct Plan-Growth Option,,
120152,Kotak Large Cap  Fund - Growth - Direct,INF174K01KW6,
120158,Kotak Large & Midcap Fund - Direct- Growth,INF174K01LF9,
120164,Kotak-Small Cap Fund - Growth - Direct,INF174K01KT2,
120264,LIC MF Flexi Cap Fund-Direct Plan-Growth,INF767K01EG3,
120267,LIC MF Large Cap Fund-Direct Plan-Growth,INF767K01EJ7,
120270,LIC MF ELSS Tax Saver-Direct Plan-Growth,INF767K01EM1,
120323,ICICI Prudential Value Fund (erstwhile Value Discovery Fund) - Direct Plan - Growth,INF109K012K1,
120348,Invesco India Contra Fund - Direct Plan - Growth,INF205K01LE4,
120357,Invesco India Large & Mid Cap Fund - Direct Plan - Growth,INF205K01MA0,
120386,Sahara Star Value Fund-Growth - Direct,,
120416,Invesco India ELSS Tax Saver Fund - Direct Plan - Growth,INF205K01NT8,
120465,Axis Large Cap Fund - Direct Plan - Growth,INF846K01DP8,
120468,Axis Focused Fund - Direct Plan - Growth Option,INF846K01CQ8,
120486,JM Value Fund (Direct) - Growth Option,INF192K01BT3,
120488,JM Focused Fund (Direct)  - Growth Option,INF192K01BW7,
120490,JM Large Cap Fund (Direct) - Growth Option,INF192K01BZ0,
120494,JM ELSS Tax Saver Fund (Direct) - Growth Option,INF192K01CE3,
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
120564,Aditya Birla Sun Life Flexi Cap Fund - Growth - Direct Plan,INF209K01XX1,
120586,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,INF109K016L0,
120592,ICICI Prudential ELSS Tax Saver Fund - Direct Plan - Growth,INF109K01Y31,
120596,ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth,INF109K011O5,
120656,UTI Large Cap Fund - Direct Plan - Growth Option,INF789F01US8,
120662,UTI - Flexi Cap Fund-Growth Option - Direct,INF789F01TC4,
120665,UTI Large & Mid Cap Fund - Direct Plan - Growth Option,INF789F01UG3,
120699,UTI - Master Value Fund-Growth Option-Direct,,
120715,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,INF789F01TF7,
120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,
120726,UTI Mid Cap Fund-Growth Option- Direct,INF789F01UA6,
120751,UTI Value Fund - Direct Plan - Growth Option,INF789F01VB2,
120759,UTI Contra Fund-Growth-Growth Option-Direct,,
120826,quant Large & Mid Cap Fund - Growth Option-Direct Plan,INF966L01648,
120828,quant Small Cap Fund - Growth Option - Direct Plan,INF966L01689,
120834,quant Focused Fund - Growth Option-Direct Plan,INF966L01853,
120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
120843,quant Flexi Cap Fund - Growth Option-Direct Plan,INF966L01911,
120847,quant ELSS Tax Saver Fund - Growth Option - Direct Plan,INF966L01986,
122387,Motilal Oswal Focused Fund - Regular Plan Growth Option,INF247L01155,
122389,Motilal Oswal Focused Fund - Direct Plan Growth Option,INF247L01189,
122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,INF879O01027,
122640,Parag Parikh Flexi Cap Fund - Regular Plan - Growth,INF879O01019,
125350,Axis Small Cap Fund - Regular Plan - Growth,INF846K01K01,
125354,Axis Small Cap Fund - Direct Plan - Growth,INF846K01K35,
125494,SBI Small Cap Fund - Regular Plan - Growth,INF200K01T28,
125497,SBI Small Cap Fund - Direct Plan - Growth,INF200K01T51,
126638,Aditya Birla Sun Life Focused Equity Fund - Series 1 - Regular Plan-Growth,,
126639,Aditya Birla Sun Life Focused Equity Fund - Series 1 - Direct Plan-Growth,,
127919,Aditya Birla Sun Life Focused Equity Fund - Series 2 - Direct Plan-Growth,,
127921,Aditya Birla Sun Life Focused Equity Fund - Series 2 - Regular Plan-Growth,,
128235,IDBI FLEXI CAP FUND Growth Regular,,
128236,IDBI FLEXI CAP FUND Growth Direct,,
129046,Motilal Oswal Flexi cap Fund Direct Plan-Growth Option,INF247L01502,
129048,Motilal Oswal Flexi Cap Fund Regular Plan-Growth Option,INF247L01478,
129647,Union Small Cap Fund - Regular Plan - Growth Option,INF582M01BY1,
129649,Union Small Cap Fund - Direct Plan - Growth Option,INF582M01BU9,
130496,HDFC Large and Mid Cap Fund - Growth Option,INF179KA1RT1,
130498,HDFC Large and Mid Cap Fund - Growth Option - Direct Plan,INF179KA1RQ7,
130502,HDFC Small Cap Fund - Growth Option,INF179KA1RZ8,
130503,HDFC Small Cap Fund - Growth Option - Direct Plan,INF179KA1RW5,
131163,UTI Multi Cap Fund - Growth Option,,
131164,UTI Multi Cap Fund - Growth Option - Direct,,
131526,Aditya Birla Sun Life Focused Equity Fund - Series 3 - Direct Plan - Growth,,
131527,Aditya Birla Sun Life Focused Equity Fund - Series 3 - Regular Plan - Growth,,
131578,360 ONE Focused Fund -Regular Plan - Growth,INF579M01878,
131580,360 ONE Focused Fund-Direct Plan-Growth,INF579M01902,
132756,Tata ELSS Fund-Growth-Direct Plan,INF277K01I86,
132757,Tata ELSS Fund-Growth-Regular Plan,INF277K01I52,
132983,Sundaram Select Small Cap Series II Regular Growth,,
132985,Sundaram Select Small Cap Series II Direct Growth,,
133102,Aditya Birla Sun Life Focused Equity Fund - Series 4 - Regular Plan - Growth,,
133105,Aditya Birla Sun Life Focused Equity Fund - Series 4 - Direct Plan - Growth,,
133144,DWS Mid Cap Fund - Series 1 - Direct Plan - Growth,,
133146,DWS Mid Cap Fund - Series 1 - Regular Plan - Growth,,
133318,Sundaram Value Fund Series I Regular Plan Growth,,
133320,Sundaram Value Fund Series I Direct Growth,,
133385,Motilal Oswal ELSS Tax Saver Fund - Regular Plan - Growth Option,INF247L01544,
133386,Motilal Oswal ELSS Tax Saver Fund - Direct Plan - Growth Option,INF247L01569,
133527,HDFC FOCUSED EQUITY FUND - Regular Plan - Growth Option,,
133529,HDFC FOCUSED EQUITY FUND - Direct Plan - Growth Option,,
133557,Sundaram Value Fund Series II Regular Plan Growth,,
133559,Sundaram Value Fund Series II Direct Plan Growth,,
133710,LIC MF Large & Mid Cap Fund-Direct Plan-Growth,INF767K01NE9,
133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth,INF767K01NB5,
133836,PGIM India Flexi Cap Fund - Regular Plan - Growth Option,INF663L01FJ3,
133839,PGIM India Flexi Cap Fund - Direct Plan - Growth Option,INF663L01FF1,
133896,Aditya Birla Sun Life Focused Equity Fund - Series 5 - Regular Plan - Growth,,
133897,Aditya Birla Sun Life Focused Equity Fund - Series 5 - Direct Plan - Growth,,
134001,DWS Large Cap Fund - Series 1 - Direct Plan - Growth,,
134002,DWS Large Cap Fund - Series 1 - Regular Plan - Growth,,
134044,Baroda ELSS 96 Plan A -Growth Option,,
134045,Baroda ELSS 96 Plan B(Direct) -Growth Option,,
134133,DWS Large Cap Fund - Series 2 - Regular Plan - Growth,,
134134,DWS Large Cap Fund - Series 2 - Direct Plan - Growth,,
134295,Sundaram Select Small Cap Series III Regular Growth,,
134297,Sundaram Select Small Cap Series III Direct Growth,,
134334,HDFC Focused Equity Fund - Plan B - Direct Plan - Growth Option,,
134336,HDFC Focused Equity Fund - Plan B - Regular Plan - Growth Option,,
134371,Sundaram Select Small Cap Series IV - Regular Growth,,
134373,Sundaram Select Small Cap Series IV - Direct Growth,,
134413,DWS Large Cap Fund - Series 3 - Direct Plan - Growth,,
134415,DWS Large Cap Fund - Series 3 - Regular Plan - Growth,,
135341,Groww Value Fund (formerly known as Indiabulls Value Fund) - Direct Plan - Growth Option,INF666M01BE4,
135343,Groww Value Fund (formerly known as Indiabulls Value Fund) - Regular Plan - Growth Option,INF666M01BH7,
135349,Aditya Birla Sun Life Focused Equity Fund - Series 6 - Regular Plan-Growth,,
135351,Aditya Birla Sun Life Focused Equity Fund - Series 6-Direct Plan-Growth,,
135598,PGIM India ELSS Tax Saver Fund - Regular Plan - Growth Option,INF663L01FQ8,
