schemeCode,schemeName,isinGrowth,isinDivReinvestment
135601,PGIM India ELSS Tax Saver Fund - Direct Plan - Growth Option,INF663L01FN5,
135654,Navi ELSS Tax Saver Fund- Direct Plan- Growth Option,INF959L01CD5,
135655,Navi ELSS Tax Saver Fund- Regular Plan- Growth Option,INF959L01CF0,
135677,Navi Large & Midcap Fund- Direct Plan- Growth Option,INF959L01CH6,
135678,Navi Large & Midcap Fund- Regular Plan- Growth Option,INF959L01CK0,
135781,Mirae Asset ELSS Tax Saver Fund - Direct Plan - Growth,INF769K01DM9,
135784,Mirae Asset ELSS Tax Saver Fund - Regular Plan - Growth,INF769K01DK3,
136086,Sundaram Value Fund Series III Regular Plan Growth,,
136088,Sundaram Value Fund Series  Direct Plan Growth,,
138308,PGIM India Large Cap Fund - Growth,INF663L01GW4,
138310,DHFL Pramerica Large Cap Fund Wealth Plan - Growth Option,,
138312,PGIM India Large Cap Fund - Direct Plan - Growth,INF663L01GR4,
138950,DHFL Pramerica Mid Cap Fund - Series 1 - Direct Plan - Growth,,
138952,DHFL Pramerica Mid Cap Fund - Series 1 - Regular Plan - Growth,,
138986,DHFL Pramerica Large Cap Fund - Series 1 - Direct Plan - Growth,,
138987,DHFL Pramerica Large Cap Fund - Series 1 - Regular Plan - Growth,,
138990,PGIM India Large Cap Fund - Series 2 - Regular Plan - Growth,,
138991,PGIM India Large Cap Fund - Series 2 - Direct Plan - Growth,,
139017,DHFL Pramerica Large Cap Fund - Series 3 - Direct Plan - Growth,,
139019,DHFL Pramerica Large Cap Fund - Series 3 - Regular Plan - Growth,,
139781,Mahindra Manulife ELSS Tax Saver Fund - Direct Plan -Growth,INF174V01093,
139783,Mahindra Manulife ELSS Tax Saver Fund- Regular Plan - Growth,INF174V01077,
140172,Edelweiss Large & Mid Cap Fund - Regular Plan - Growth Option,INF843K01047,
140175,Edelweiss Large & Mid Cap Fund - Direct Plan - Growth Option,INF843K01AL0,
140225,Edelweiss Mid Cap Fund - Regular Plan - Growth Option,INF843K01013,
140228,Edelweiss Mid Cap Fund - Direct Plan - Growth Option,INF843K01AO4,
140353,Edelweiss Flexi Cap Fund - Direct Plan - Growth Option,INF843K01KK1,
140355,Edelweiss Flexi Cap Fund - Regular Plan - Growth Option,INF843K01KN5,
140659,Sundaram Value Fund Series VII Regular Plan - Growth,,
140660,Sundaram Value Fund Series VII Direct Plan - Growth,,
141068,Quantum Value Fund - Regular Plan Growth Option,INF082J01242,
141070,Quantum ELSS Tax Saver Fund - Regular Plan Growth Option,INF082J01366,
141224,Mahindra Manulife Multi Cap Fund - Regular Plan - Growth,INF174V01317,
141226,Mahindra Manulife Multi Cap Fund - Direct Plan -Growth,INF174V01341,
141339,Sundaram Value Fund Series VIII Regular Plan - Growth,,
141342,Sundaram Value Fund Series VIII Direct Plan - Growth,,
141462,IDBI Small Cap Fund Growth Regular,,
141475,IDBI Small Cap Fund - Growth Direct,,
141499,Sundaram Select Small Cap Series V Direct Plan - Growth,,
141501,Sundaram Select Small Cap Series V Regular Plan - Growth,,
141561,Sundaram Select Small Cap Series VI Direct Plan - Growth,,
141563,Sundaram Select Small Cap Series VI Regular Plan - Growth,,
141808,Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)- Direct Plan- Growth Option,INF666M01DK7,
141812,BNP Paribas Focused 25 Equity Fund - Regular Plan-Growth Option,,
141813,BNP Paribas Focused 25 Equity Fund - Direct Plan - Growth Option,,
141862,Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)-Regular Plan-Growth Option,INF666M01DN1,
141913,Sundaram Value Fund Series IX Regular Plan - Growth,,
141915,Sundaram Value Fund Series IX Direct Plan - Growth,,
141919,IDBI FOCUSED 30 EQUITY FUND - Growth Regular,,
141920,IDBI FOCUSED 30 EQUITY FUND - Growth Direct,,
141925,Axis Flexi Cap Fund - Direct Plan - Growth,INF846K01B28,
141927,Axis Flexi Cap Fund - Regular Plan - Growth,INF846K01B51,
141929,Sundaram Value Fund Series X Regular Plan - Growth,,
141932,Sundaram Value Fund Series X Direct Plan - Growth,,
141950,BANK OF INDIA Mid Cap Tax Fund Series 1 Direct Plan Growth,INF761K01DS3,
141952,BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth,INF761K01DU9,
142109,Mahindra Manulife Mid Cap Fund - Regular Plan - Growth,INF174V01473,
142110,Mahindra Manulife Mid Cap Fund - Direct Plan -Growth,INF174V01507,
142531,Sundaram Emerging Small Cap Series I Regular Plan - Growth,,
142533,Sundaram Emerging Small Cap Series I Direct Plan - Growth,,
143009,Sundaram Emerging Small Cap Series II Regular Plan - Growth,,
143010,Sundaram Emerging Small Cap Series II Direct Plan - Growth,,
143225,Sundaram Emerging Small Cap Series III Regular Plan - Growth,,
143226,Sundaram Emerging Small Cap Series III Direct Plan - Growth,,
143503,Sundaram Emerging Small Cap Series IV Regular Plan - Growth,,
143506,Sundaram Emerging Small Cap Series IV Direct Plan - Growth,,
143787,Navi Flexi Cap Fund - Regular Plan - Growth,INF959L01EE9,
143793,Navi Flexi Cap Fund - Direct Plan - Growth,INF959L01DT9,
143828,Sundaram Multi Cap Fund Series I Direct Plan - Growth,,
143830,Sundaram Multi Cap Fund Series I Regular Plan - Growth,,
143835,Tata Value Fund Series 1 Direct Plan Growth,,
143837,Tata Value Fund Series 1 Regular Plan Growth,,
144197,Sundaram Multi Cap Fund Series II Regular Plan - Growth,,
144200,Sundaram Multi Cap Fund Series II Direct Plan - Growth,,
144212,Tata Value Fund Series 2 -Regular Plan-Growth,,
144213,Tata Value Fund Series 2 -Direct Plan-Growth,,
144435,Sundaram Emerging Small Cap Series V Regular Plan - Growth,,
144437,Sundaram Emerging Small Cap Series V Direct Plan - Growth,,
144453,IDBI Long Term Value Fund-Regular Plan-Growth,,
144455,IDBI Long Term Value Fund-Direct Plan- Growth,,
144546,Tata Flexi Cap Fund-Direct Plan-Growth,INF277K015K0,
144548,Tata Flexi Cap Fund -Regular Plan-Growth,INF277K019K2,
144726,Sundaram Emerging Small Cap Series VI Regular Plan - Growth,,
144728,Sundaram Emerging Small Cap Series VI Direct Plan - Growth,,
144902,Shriram Flexi Cap Fund - Regular Growth,INF680P01075,
144905,Shriram Flexi Cap Fund - Direct Growth,INF680P01109,
144987,Sundaram Emerging Small Cap Series VII Regular Plan - Growth,,
144988,Sundaram Emerging Small Cap VII Direct Plan - Growth,,
145110,Axis Large & Mid Cap Fund - Direct Plan - Growth,INF846K01J46,
145112,Axis Large & Mid Cap Fund - Regular Plan - Growth,INF846K01J79,
145206,Tata Small Cap Fund-Direct Plan-Growth,INF277K011O1,
145208,Tata Small Cap Fund-Regular Plan-Growth,INF277K015O2,
145376,L&T Focused Equity Fund - Direct Plan - Growth Option,,
145378,L&T Focused Equity Fund - Regular Plan - Growth Option,,
145471,Union Value Fund - Regular Plan - Growth Option,INF582M01EO6,
145473,Union Value Fund - Direct Plan - Growth Option,INF582M01EK4,
145677,BANK OF INDIA Small Cap Fund Regular Plan Growth,INF761K01ER3,
145678,BANK OF INDIA Small Cap Fund Direct Plan Growth,INF761K01EP7,
145819,Shriram ELSS Tax Saver Fund - Direct Growth,INF680P01158,
145820,Shriram ELSS Tax Saver Fund - Regular Growth,INF680P01133,
146193,Edelweiss Small Cap Fund - Regular Plan - Growth,INF754K01JJ4,
146196,Edelweiss Small Cap Fund - Direct Plan - Growth,INF754K01JN6,
146549,Mahindra Manulife Large Cap Fund - Direct Plan -Growth,INF174V01721,
146551,Mahindra Manulife Large Cap Fund - Regular Plan - Growth,INF174V01697,
146771,HSBC Large & Mid Cap Fund - Regular Growth,INF336L01NY9,
146772,HSBC Large & Mid Cap Fund - Direct Growth,INF336L01NV5,
147129,Principal Small Cap Fund - Regular Plan - Growth Option,,
147131,Principal Small Cap Fund - Direct Plan - Growth Option,,
147183,ITI Multi Cap Fund - Direct Plan - Growth Option,INF00XX01168,
147184,ITI Multi Cap Fund - Regular Plan - Growth Option,INF00XX01135,
147203,Mirae Asset Focused Fund Regular Plan Growth,INF769K01ES4,
147206,Mirae Asset Focused Fund Direct Plan Growth,INF769K01EU0,
147473,Kotak Focused Fund- Direct Plan- Growth option,INF174KA1EN7,
147477,Kotak Focused Fund- Regular plan _ Growth Option,INF174KA1EK3,
147481,Parag Parikh ELSS Tax Saver Fund- Direct Growth,INF879O01100,
147482,Parag Parikh ELSS Tax Saver Fund- Regular Growth,INF879O01092,
147490,Union Focused Fund - Regular Plan - Growth Option,INF582M01FW6,
147492,Union Focused Fund - Direct Plan - Growth Option,INF582M01FS4,
147541,ITI ELSS Tax Saver Fund - Direct Plan - Growth Option,INF00XX01390,
147544,ITI ELSS Tax Saver Fund - Regular Plan - Growth Option,INF00XX01374,
147748,Union Large & Midcap Fund - Regular Plan - Growth Option,INF582M01GD4,
147750,Union Large & Midcap Fund - Direct Plan - Growth Option,INF582M01GA0,
147757,Tata Focused Fund-Direct Plan-Growth,INF277K017X9,
147760,Tata Focused Fund-Regular Plan-Growth,INF277K010Y2,
147840,Mahindra Manulife Large & Mid Cap Fund - Direct Plan -Growth,INF174V01945,
147843,Mahindra Manulife Large & Mid Cap Fund - Regular Plan - Growth,INF174V01911,
147919,ITI Small Cap Fund - Direct Plan - Growth Option,INF00XX01747,
147920,ITI Small Cap Fund - Regular Plan - Growth Option,INF00XX01713,
148351,ITI Large Cap Fund - Regular Plan - Growth Option,INF00XX01770,
148353,ITI Large Cap Fund - Direct Plan - Growth Option,INF00XX01804,
148404,BANK OF INDIA Flexi Cap Fund Direct Plan -Growth,INF761K01FF5,
148405,BANK OF INDIA Flexi Cap Fund Regular Plan -Growth,INF761K01FI9,
148409,HSBC Focused Fund - Regular Growth,INF336L01PE6,
148411,HSBC Focused Fund - Direct Growth,INF336L01PB2,
148471,Baroda BNP Paribas Large and Mid Cap Fund-Regular Plan-Growth Option,INF955L01JR8,
148474,Baroda BNP Paribas Large and Mid Cap Fund- Direct Plan -Growth Option,INF955L01JU2,
148481,Invesco India Focused Fund - Direct Plan - Growth,INF205KA1213,
148483,Invesco India Focused Fund - Regular Plan - Growth,INF205KA1189,
148491,Principal Large Cap Fund - Regular Growth,,
148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth,INF903JA1IZ3,
148507,Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund)Direct Plan - Growth,INF903JA1JC0,
148524,Principal Large Cap Fund - Direct Growth,,
148567,Mahindra Manulife Focused Fund - Direct Plan -Growth,INF174V01AG7,
148571,Mahindra Manulife Focused Fund - Regular Plan - Growth,INF174V01AD4,
148594,DSP Value Fund - Regular Plan - Growth,INF740KA1PM0,
148595,DSP Value Fund - Direct Plan - Growth,INF740KA1PP3,
148617,UTI Small Cap Fund - Regular Plan - Growth Option,INF789F1AUO6,
148618,UTI Small Cap Fund - Direct Plan - Growth Option,INF789F1AUQ1,
148732,ITI Mid Cap Fund - Regular Plan - Growth Option,INF00XX01895,
148733,ITI Mid Cap Fund - Direct Plan - Growth Option,INF00XX01929,
148883,Canara Robeco Focused Fund - Direct Plan - Growth Option,INF760K01JQ6,
148884,Canara Robeco Focused Fund - Regular Plan - Growth Option,INF760K01JT0,
148972,ITI Value Fund - Direct Plan - Growth Option,INF00XX01AQ6,
148973,ITI Value Fund - Regular Plan - Growth Option,INF00XX01AN3,
148980,BANK OF INDIA Large Cap Fund Direct Plan Growth,INF761K01FL3,
148982,BANK OF INDIA Large Cap Fund Regular Plan Growth,INF761K01FO7,
149019,PGIM India Small Cap Fund - Direct Plan- Growth Option,INF663L01W06,
149020,PGIM India Small Cap Fund - Regular Plan - Growth Option,INF663L01W30,
149085,Canara Robeco Value Fund - Direct Plan - Growth Option,INF760K01JW4,
149088,Canara Robeco Value Fund - Regular Plan - Growth Option,INF760K01JZ7,
149089,Nippon India Flexi Cap Fund - Regular Plan - Growth Plan - Growth Option,INF204KC1097,
149090,UTI Focused Fund - Regular Plan - Growth Option,INF789F1AUY5,
149091,UTI Focused Fund - Direct Plan - Growth Option,INF789F1AVA3,
149094,Nippon India Flexi Cap Fund - Direct Plan - Growth Plan - Growth Option,INF204KC1121,
149101,Mahindra Manulife Flexi Cap Fund - Regular Plan -Growth,INF174V01AP8,
149104,Mahindra Manulife Flexi Cap Fund - Direct Plan -Growth,INF174V01AS2,
149153,HSBC Mid Cap Fund - Regular - Growth,,
149154,HSBC Mid Cap Fund - Direct - Growth,,
149166,Axis Value Fund - Direct Plan - Growth,INF846K010C0,
149167,Axis Value Fund - Regular Plan - Growth,INF846K013C4,
149335,Quant Value Fund - Growth Option  - Direct Plan,INF966L01AN3,
149337,Quant Value Fund - Growth Option - Regular Plan,INF966L01AQ6,
149366,HDFC Multi Cap Fund - Growth Option,INF179KC1BV9,
149368,HDFC Multi Cap Fund - Growth Option - Direct Plan,INF179KC1BS5,
149449,Samco Flexi Cap Fund - Regular Plan - Growth Option,INF0K1H01016,
149450,Samco Flexi Cap Fund - Direct Plan - Growth Option,INF0K1H01024,
149532,Sundaram Focused Fund (Formerly Known as Principal Focused Multicap Fund)-Growth Option,INF173K01189,
149533,Sundaram Focused Fund (Formerly Known as Principal Focused Multicap Fund)- Direct Plan - Growth Option,INF173K01EK6,
149569,Sundaram ELSS Tax Saver Fund Regular Growth,INF173K01361,
149570,Sundaram ELSS Tax Saver Fund Direct Plan Growth,INF173K01HZ7,
149667,Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund)-Growth Option,INF173K01940,
149669,Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund)-Direct Plan - Growth Option,INF173K01FQ0,
149763,Invesco India Flexi Cap Fund - Direct Plan - Growth,INF205KA1494,
149766,Invesco India Flexi Cap Fund - Regular Plan - Growth,INF205KA1460,
150156,BARODA BNP PARIBAS ELSS Tax Saver Fund - Regular - Growth Option,INF251K01985,
150159,BARODA BNP PARIBAS ELSS Tax Saver Fund - Direct Plan - Growth Option,INF251K01HF3,
150185,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option,INF251K01894,
150187,BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - Growth Option,INF251K01HN7,
150209,BARODA BNP PARIBAS Mid Cap Fund - Regular Plan - Growth Option,INF251K01AW3,
150212,BARODA BNP PARIBAS Mid Cap Fund - Direct Plan - Growth Option,INF251K01HQ0,
150263,BARODA BNP PARIBAS Focused Fund - Regular Plan-Growth Option,INF251K01PK6,
150264,BARODA BNP PARIBAS Focused Fund - Direct Plan - Growth Option,INF251K01PN0,
150346,WhiteOak Capital Flexi Cap Fund Direct Plan-Growth,INF03VN01530,
150347,WhiteOak Capital Flexi Cap Fund Regular Plan-Growth,INF03VN01506,
150376,Edelweiss Focused Fund - Direct Plan - Growth,INF754K01OP1,
150382,Edelweiss Focused Fund - Regular Plan - Growth,INF754K01OL0,
150385,Baroda BNP Paribas Flexi Cap Fund - Regular Plan - Growth Option,INF251K01QW9,
150387,Baroda BNP Paribas Flexi Cap Fund - Direct Plan - Growth Option,INF251K01QZ2,
150440,quant Large Cap Fund - Growth Option - Direct Plan,INF966L01AT0,
150441,quant Large Cap Fund - Growth Option - Regular Plan,INF966L01AW4,
150583,WhiteOak Capital Mid Cap Fund Regular Plan Growth,INF03VN01563,
150584,WhiteOak Capital Mid Cap Fund Direct Plan Growth,INF03VN01597,
150587,WhiteOak Capital ELSS Tax Saver Fund Direct Plan Growth,INF03VN01621,
150589,WhiteOak Capital ELSS Tax Saver Fund Regular Plan Growth,INF03VN01647,
150659,LIC MF Multi Cap Fund-Direct Plan-Growth,INF767K01RK7,
150661,LIC MF Multi Cap Fund-Regular Plan-Growth,INF767K01RH3,
150797,WhiteOak Capital Large Cap Fund Direct Plan Growth,INF03VN01696,
150799,WhiteOak Capital Large Cap Fund Regular Plan Growth,INF03VN01662,
150816,Canara Robeco Mid Cap Fund- Regular Plan- Growth Option,INF760K01KL5,
150817,Canara Robeco Mid Cap Fund- Direct Plan- Growth Option,INF760K01KI1,
150838,Samco ELSS Tax Saver Fund - Direct Plan - Growth Option,INF0K1H01065,
150839,Samco ELSS Tax Saver Fund - Regular Plan - Growth Option,INF0K1H01057,
150912,Mahindra Manulife Small Cap Fund - Regular Plan - Growth,INF174V01BH3,
150915,Mahindra Manulife Small Cap Fund - Direct Plan - Growth,INF174V01BK7,
151076,HSBC ELSS Tax saver Fund - Regular Growth,INF677K01064,
151078,HSBC ELSS Tax saver Fund - Direct Growth,INF917K01GP0,
151110,HSBC Value Fund - Regular Growth,INF677K01023,
151113,HSBC Value Fund - Direct Growth,INF917K01HD4,
151130,HSBC Small Cap Fund - Direct Growth,INF917K01QA1,
151133,HSBC Small Cap Fund - Regular Growth,INF917K01QC7,
151164,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - Growth,INF579M01AL6,
151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,INF579M01AN2,
151289,HSBC Multi Cap Fund - Regular - Growth,INF336L01QQ8,
151290,HSBC Multi Cap Fund - Direct - Growth,INF336L01QN5,
151377,ITI Flexi Cap Fund- Regular Plan- Growth,INF00XX01CL3,
151379,ITI Flexi Cap Fund- Direct Plan- Growth,INF00XX01CO7,
151412,Mirae Asset Flexi Cap Fund - Direct Plan - Growth,INF769K01JJ2,
151414,Mirae Asset Flexi Cap Fund - Regular Plan - Growth,INF769K01JG8,
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,
151445,Bank of India Multi Cap Fund Regular Plan - Growth,INF761K01FU4,
151609,NJ ELSS Tax Saver Scheme Regular Growth,INF0J8L01099,
151611,NJ ELSS Tax Saver Scheme Direct Growth,INF0J8L01115,
151747,Baroda BNP Paribas Value Fund - Regular Plan - Growth option,INF251K01SA1,
151755,Baroda BNP Paribas Value Fund - Direct Plan - Growth option,INF251K01SD5,
151777,ITI Focused Fund - Direct Plan - Growth,INF00XX01CS8,
151778,ITI Focused Fund - Regular Plan - Growth,INF00XX01CV2,
151821,Canara Robeco Multi Cap Fund - Regular Plan - Growth Option,INF760K01KR2,
151824,Canara Robeco Multi Cap Fund - Direct Plan - Growth Option,INF760K01KO9,
151895,Bajaj Finserv Flexi Cap Fund-Direct Plan-Growth,INF0QA701342,
151898,Bajaj Finserv Flexi Cap Fund -Regular Plan-Growth,INF0QA701383,
151917,NJ Flexi Cap Fund - Direct Plan - Growth Option,INF0J8L01156,
151920,NJ Flexi Cap Fund - Regular Plan - Growth Option,INF0J8L01131,
152001,LIC MF Mid Cap Fund-Regular Plan-Growth,INF397L01JO0,
152002,LIC MF Mid Cap Fund-Direct Plan-Growth,INF397L01JK8,
152003,LIC MF Small Cap Fund-Regular Plan-Growth,INF397L01JW3,
152004,LIC MF Small Cap Fund-Direct Plan-Growth,INF397L01JS1,
152009,LIC MF Focused Fund-Regular Plan-Growth,INF397L01KE9,
152010,LIC MF Focused Fund-Direct Plan-Growth,INF397L01KA7,
152016,LIC MF Value Fund-Regular Plan-Growth,INF397L01KQ3,
152018,LIC MF Value Fund-Direct Plan-Growth,INF397L01KU5,
152071,WhiteOak Capital Multi Cap Fund Direct Plan Growth,INF03VN01803,
152072,WhiteOak Capital Multi Cap Fund Regular Plan Growth,INF03VN01795,
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,
152095,Edelweiss Multi Cap Fund - Regular Plan - Growth,INF754K01RW0,
152128,Baroda BNP Paribas Small Cap Fund - Direct Plan - Growth option,INF251K01SR5,
152130,Baroda BNP Paribas Small Cap Fund - Regular Plan - Growth option,INF251K01SO2,
152135,Helios Flexi Cap Fund - Direct Plan - Growth Option,INF0R8701046,
152136,Helios Flexi Cap Fund - Regular Plan - Growth Option,INF0R8701012,
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,
152225,Whiteoak Capital Large & Mid Cap Fund Regular Plan Growth,INF03VN01837,
152226,Whiteoak Capital Large & Mid Cap Fund Direct Plan Growth,INF03VN01845,
152232,Motilal Oswal Small Cap Fund - Regular - Growth,INF247L01BV9,
152237,Motilal Oswal Small Cap Fund - Direct - Growth,INF247L01BY3,
152352,Motilal Oswal Large Cap Regular Plan Growth,INF247L01CB9,
152354,Motilal Oswal Large Cap Direct Plan Growth,INF247L01CE3,
152358,Old Bridge Focused Fund - Direct Growth,INF0S5R01042,
152361,Old Bridge Focused Fund - Regular Growth,INF0S5R01034,
152406,Bajaj Finserv Large and Mid Cap Fund- Regular Plan- Growth,INF0QA701730,
152408,Bajaj Finserv Large and Mid Cap Fund- Direct Plan- Growth,INF0QA701763,
152582,TRUSTMF Flexi Cap Fund-Regular Plan- Growth,INF0GCD01719,
152584,TRUSTMF Flexi Cap Fund-Direct Plan- Growth,INF0GCD01743,
152612,JM Small Cap Fund (Regular) - Growth Option,INF192K01NE0,
152614,JM Small Cap Fund (Direct) - Growth Option,INF192K01NH3,
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,
152651,Motilal Oswal Multi Cap Fund-Direct Plan Growth,INF247L01CL8,
152738,Franklin India Multi Cap Fund - Growth,INF090I01WX1,
152739,Franklin India Multi Cap Fund - Direct - Growth,INF090I01XA7,
152815,PGIM India Multi Cap Fund - Direct Plan - Growth Option,INF663L01Z03,
152816,PGIM India Multi Cap Fund - Regular Plan - Growth Option,INF663L01Y87,
152821,ITI Large & Midcap Fund - Direct Plan - Growth,INF00XX01DA4,
152824,ITI Large & Midcap Fund - Regular Plan - Growth,INF00XX01CX8,
152847,Samco Multi Cap Fund - Direct Plan - Growth,INF0K1H01198,
152848,Samco Multi Cap Fund - Regular Plan - Growth,INF0K1H01206,
152941,Helios Large & Mid Cap Fund - Direct Plan - Growth Option,INF0R8701269,
152943,Helios Large & Mid Cap Fund - Regular Plan - Growth Option,INF0R8701236,
153196,Mirae Asset Small Cap Fund - Direct Plan - Growth,INF769K01NJ4,
153198,Mirae Asset Small Cap Fund - Regular Plan - Growth,INF769K01NG0,
153238,Samco Large Cap Fund - Regular Plan - Growth Option,INF0K1H01263,
153239,Samco Large Cap Fund - Direct Plan - Growth Option,INF0K1H01255,
153303,Mahindra Manulife Value Fund - Direct Plan - Growth,INF174V01CI9,
153304,Mahindra Manulife Value Fund - Regular Plan - Growth,INF174V01CF5,
153326,Helios Mid Cap Fund - Direct Plan - Growth Option,INF0R8701327,
153327,Helios Mid Cap Fund - Regular Plan - Growth Plan,INF0R8701293,
153515,UTI Multi Cap Fund - Direct Plan - Growth Option,INF789F1AB89,
153516,UTI Multi Cap Fund - Regular Plan - Growth Option,INF789F1AB71,
153533,Samco Large & Mid Cap Fund - Regular Plan - Growth Option,INF0K1H01289,
153534,Samco Large & Mid Cap Fund - Direct Plan - Growth Option,INF0K1H01271,
153542,Unifi Flexi Cap Fund - Regular Growth,INF1MIY01049,
153543,Unifi Flexi Cap Fund - Direct Growth,INF1MIY01031,
153627,JM Large & Mid Cap Fund (Regular) - Growth Option,INF192K01NM3,
153629,JM Large & Mid Cap Fund (Direct) - Growth Option,INF192K01NK7,
153726,Bank of India Mid Cap Fund - Regular Plan Growth,INF761K01HB0,
153728,Bank of India Mid Cap Fund - Direct Plan Growth,INF761K01GY4,
153859,JioBlackRock Flexi Cap Fund - Direct Plan - Growth Option,INF22M001093,
153909,Helios Small Cap Fund - Regular Plan - Growth Option,INF0R8701350,
153912,Helios Small Cap Fund - Direct Plan - Growth Option,INF0R8701384,
154041,Abakkus Flexi Cap Fund - Regular - Growth,INF2JJD01169,
154043,Abakkus Flexi Cap Fund - Direct - Growth,INF2JJD01136,
154063,Groww Small Cap Fund-Direct-Growth,INF666M01NJ8,
154102,Groww Small Cap Fund-Regular-Growth,INF666M01NM2,
154154,Parag Parikh Large Cap Fund - Regular Plan - Growth,INF879O01365,
154155,Parag Parikh Large Cap Fund - Direct Plan - Growth,INF879O01332,
154214,Abakkus Small Cap Fund - Regular  Plan - Growth,INF2JJD01185,
154215,Abakkus Small Cap Fund - Direct Plan - Growth,INF2JJD01177,
154225,Old Bridge Flexi Cap Fund Direct Growth,INF0S5R01133,
154226,Old Bridge Flexi Cap Fund Regular Growth,INF0S5R01166,
154268,The Wealth Company Small Cap Fund- Regular-Growth,INF2F0001503,
154269,The Wealth Company Small Cap Fund- Direct-Growth,INF2F0001537,
154307,JioBlackRock Large Cap Fund - Direct Plan - Growth Option,INF22M001176,
154337,Motilal Oswal Contra Fund - Direct – Growth,INF247L01GW6,
154338,Motilal Oswal Contra Fund - Regular – Growth,INF247L01GZ9,
154381,The Wealth Company Large & Mid Cap Fund Direct Growth,INF2F0001594,
154382,The Wealth Company Large & Mid Cap Fund Regular Growth,INF2F0001560,
